"Timestamp","Age","Gender","Monthly Income","Education Level","Employement Status","I understand the environmental impact of fashion products.","I consider sustainability when buying fashion products.","I believe consumers should support sustainable fashion.","I question sustainability claims made by fashion brands.","I believe some fashion brands exaggerate their green claims.","I look for evidence before trusting sustainability statements.","Sustainable fashion reflects my personal values.","I use fashion choices to express my identity.","I feel connected with people who support sustainable fashion.","I trust eco-labels on sustainable fashion products.","I believe certified eco-labels provide reliable information.","Eco-labels help me choose sustainable fashion products.","The price of sustainable fashion affects my buying decisions.","Limited availability makes it difficult to buy sustainable fashion.","Style choices influence my decision to buy sustainable fashion.","I regularly buy sustainable fashion products.","I choose sustainable fashion brands when available.","I intend to continue purchasing sustainable fashion products.","I am willing to pay more for sustainable fashion products.","I accept higher prices for environmentally friendly clothing.","I would choose sustainable fashion even if it costs more."
"2026/09/01 4:58:18 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Disagree","Disagree"
"2026/09/01 4:59:10 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:00:02 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:00:47 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:01:36 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:02:37 pm CET","18 - 24 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:03:27 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:04:12 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree"
"2026/09/01 5:05:01 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:05:50 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:06:46 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree"
"2026/09/01 5:08:33 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 5:13:42 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Employed part time","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 5:15:34 pm CET","18 - 24 years","Male","£1,000–£1,999","Master’s Degree","Employed part time","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Agree"
"2026/09/01 5:16:28 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 5:17:24 pm CET","18 - 24 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 5:18:17 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:39:41 pm CET","18 - 24 years","Male","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly Disagree"
"2026/09/01 5:40:29 pm CET","18 - 24 years","Male","£3,000–£3,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:41:14 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 5:42:04 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Disagree","Disagree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 5:42:54 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 5:43:45 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Disagree","Disagree","Disagree"
"2026/09/01 5:45:03 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree"
"2026/09/01 5:45:58 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Strongly Agree","Disagree","Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:46:53 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Neither Agree nor Disagree"
"2026/09/01 5:47:40 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/09/01 5:48:30 pm CET","18 - 24 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Strongly Agree","Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:49:15 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:50:01 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree"
"2026/09/01 5:50:49 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:51:35 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Agree","Neither Agree nor Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:52:41 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Strongly Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:53:30 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Strongly Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Neither Agree nor Disagree"
"2026/09/01 5:54:33 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Employed part time","Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Disagree","Disagree","Neither Agree nor Disagree","Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:55:22 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Disagree","Neither Agree nor Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:56:13 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:57:15 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:58:06 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Employed part time","Strongly Agree","Strongly Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:59:05 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 5:59:55 pm CET","25–34 years","Male","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 6:00:45 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 6:01:41 pm CET","18 - 24 years","Male","£4,000 or above","Bachelor’s Degree","Unemployed","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Strongly Agree","Disagree","Neither Agree nor Disagree","Disagree","Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree"
"2026/09/01 6:02:34 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2026/09/01 6:05:11 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/09/01 6:06:16 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree"
"2026/09/01 6:07:14 pm CET","18 - 24 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Strongly Agree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
